Comment,Sentiment,Toxicity,ambiguity_flag
"Hiện nay tình trạng sử dụng kích điện để đánh bắt thủy sản xảy ra rộng khắp các vùng trên cả nước. Từ ngoài biển, trong sông, trên đồng ruộng ...đều có người sử dụng kích điện. Và nhiều đến nỗi đó là hành vi bị pháp luật cấm giờ trở nên bình thường mà ít ai lên án.Tôi rất cảm phục người dân ở xã Tam Đàn huyện Phú Ninh Tỉnh Quảng Nam này vì nếu dùng xung điện họ có thể bắt được nhiều cá hơn, nhưng họ lại không làm vậy.Chúc bà con mạnh giỏi!",1,0,0
"Muốn ngăn chặn được ma tuý thì phải nâng cao nhận thức cho giới trẻ để tránh đi lầm đường lạc lối, có cầu thì mới có cung mà.",0,0,0
"Con hà ăn được gỗ thì đúng rồi, chúng tiết ra các enzim tiêu hóa gỗ. Ở Indo hay Malay có loài hà như con giun làm tổ trong gỗ mục. Riêng với sắt và đá thì tôi không nghĩ vậy, hà tiết ra chất bám vào đá và sắt tạo thành môi trường gây ăn mòn cho sắt chứ bản thân nó không ăn và tiêu hóa sắt hay đá.",0,0,0
Happy birthday! Happy Happy hạnh phúc,1,0,0
"Hên là 5 cơn bão mỗi nơi một hướng tan trong nay mai, nếu 5 cơn bão tụ lại thành một vùng hậu quả khó lường.",1,0,0
"Tôi đọc mà phấn khích như đang xem phim hình sự, các a quá xuất sắc, tuyệt vời",1,0,0
bài này hay đấy,1,0,0
Đang mong cầu Cát Lái làm sớm,1,0,0
Cụ khỏe quá. Mất nửa hàm mà thọ tới 96 tuổi,1,0,0
Rất thích những bài viết chuyên sâu với góc nhìn đa chiều trên nhiều lĩnh vực thế này. Cảm ơn tác giả Phan Duy!,1,0,0
Thất bại rồi,-1,0,0
"Nói thật lòng tôi đầu 8x là fan của anh từ những năm 94 nhưng khi nghe anh hát dòng nhạc này cảm giác nó ko thật sự phù hợp vì muốn hát bolero thì hơi phải dài, mới đủ sức luyến láy, chứ hát bolero mà hát ngắt khoảng ko luyến láy thì coi như nhạc bolero đã mất đi phần nào bản sắc của dòng nhạc",-1,1,0
May Juventus gánh Tạ nặng chứ không Ajax làm gì có thế hệ vàng này. :'),0,0,0
"Thay vì mỗi hs một điện thoại, thì chỉ gv có điện thoại, kết nối với internet và với projector. Nghĩa là gv có thể làm chủ tiết học mà không phải""giám sát"" từng hs.",0,0,0
Sinh nghề tử nghiệp. Chia buồn !,-1,0,0
Ngày Vinfast thống trị thị trường ô tô Việt Nam sẽ sớm thôi! 10-15 năm nữa ! Thị trường ô tô Việt Nam quá tiềm năng do xe ô tô/đầu người ở Việt Nam còn rất ít,1,0,0
"Xe hàn bán được tại thị trường khác thì bảo xe tốt. Còn xe hàn không bán được tại Âu, Mỹ thì bảo là bảo hộ nội địa. Đúng là tiêu chuẩn kép",-1,0,0
Đi câu cá bị cá câu.,0,0,0
nếu đầu tư chạy dịch vụ chắc ổn bác nhỉ?,0,0,0
"Nói như ngân hàng khuyến cáo: không cung cấp giấy tờ có ảnh... Không biết ông này có bao giờ đi du lịch theo tour chưa. Mọi người đi du lịch theo tour đều phải scan, nộp bản gốc. Vấn đề là khi ngân hàng tiếp nhận thông tin mở thẻ thì cần đối chiếu đúng người, cần thiết hỏi test vài câu để đảm bảo đúng người. ",-1,1,0
i10 cho tiết kiệm xăng,1,0,0
cầu cho họ và con cái họ an toàn và khỏe mạnh,1,0,0
Tội xúi giục con nít trộm cắp phải phạt thật nặng,-1,0,0
"Phim đó tui xem khi đi thi đại học, tới giờ có đài vẫn chiếu, vẫn hay như ngày nào",1,0,0
"Nếu theo thang điểm, tôi xin lỗi Ông:Nói tôi chấm 9Làm tôi chấm 2.",-1,1,0
Lại khổ cho những người phòng chống dịch rồi!,-1,0,0
Đau lòng vô cùng con ơi,-1,0,0
"Giỏi Toán, giỏi Văn là do tư duy của HS. Còn giỏi Anh thì phần lớn là do môi trường. Những người hoàn toàn ko giỏi tiếng Anh bậc THPT vẫn đang thành công vượt bậc vì họ có nhiều năng lực khác cần thiết hơn: tư duy kỹ thuật, tư duy tính toán, tư duy phân tích... Khi vị trí việc làm đòi hỏi ngoại ngữ, họ sẽ tự trang bị ổn thôi. Ko nên nhồi vào 1 đứa trẻ quá nhiều thứ.",0,0,0
"Bệnh này người ta còn gọi là bệnh hysterria thường mắc nhiều ở giới nữ, mang yếu tố tâm lý lây lan rất nhanh trong tập thể",0,0,0
Căm phẫn. Không biết nên dùng từ nào để miêu tả về 2 con quỷ này nữa.Cách ly khỏi xã hội những thành phần này đi.,-1,0,0
"Taken là phim hành động hạng A đấy , một tượng đài của dòng phim hành động",1,0,0
"Chia buồn cùng gia quyến chú Trần Phương ,mong chú an nghỉ nơi vĩnh hằng . Lúc cháu còn bé tý ,ngày đó ở vùng quê miền trung du thi thoảng vài tháng mới có đoàn về chiếu phim phục vụ bà con cả một khu vực vài xã . Lúc đó háo hức ,chờ mong ,vui mừng khôn siết được xem phim . Đoàn chiếu phim chở đồ trên những chiếc xe bò ( do con bò kéo ) . Lúc đó dân ở các xã lân cận kéo xem phim đông như chảy hội . Cả sân vận động đầy ắp người ,và ngồi tất cả trên nền cỏ ,mọi người đều đi bộ tới ,lúc đó chưa có nhiều xe đạp ... nhiều bộ phim đen trắng đã đi vào lịch sử , như em bé hà nội ,vĩ tuyến 17 ngày và đêm ,vợ chồng a phủ ...",1,0,0
"nghe nó bị cắt rất nhiều, khác với bản gốc chiếu nước ngoài. Không biết còn hay không :(",-1,0,0
Cầu mong bão giảm cấp nữa đi để đồng bào miền Trung ruột thịt đỡ thiệt hại,1,0,0
"con bê sau này khó khăn đi lại ăn uống ngủ nghỉ, chắc hai con bê oẳn tù tì coi ai đầu thai trước cả hai không phân thắng thua nên dính vậy.",0,0,0
Cầu mong ngài sớm bình phục,1,0,0
Khâm phục người cha như anh,1,0,0
"nhìn cũng đẹp đi , nhưng nhìn từ trên xuống dưới ngay góc chữ D nhìn chán hết muốn nói",-1,0,0
Đất phân lô liền kề là nơi trú ẩn an toàn nhất trong giai đoạn hiện nay khi các loại hình đầu tư khác gặp nhiều rủi ra.,1,0,0
"Bạn thân cơ, thân ai nấy lo. Thanh niên giờ quá manh động, hở tí mâu thuẫn là cầm dao chém giết người ",-1,0,0
Để xem Trump nghĩ ra cách chế nhạo như thế nào đây!,0,0,0
"Cộng thêm semedo là 10 cầu thủ bồ đào nha rồi, mua thêm 1 cầu thủ Bồ Đào Nha nữa là đủ một đội tuyển Bồ (với đủ các vị trí trên sân) thi đấu tại ngoại hạng Anh với HLV người Bồ. Bồ Đào Nha hoá là đây.",0,0,0
Tóm lại toàn giả thuyết.Tri thức con nguời so với vũ trụ quá nhỏ bé. Mỗi chuyện trái đất đứng yên hay chuyển động còn cãi nhau cả bao thế hệ. ,-1,0,0
"Có vô số và có thể lớn hơn nữa. Vd như tam giác cân có chiều cao đỉnh tới cạnh đáy lă 0.2mm = 2e-7km cạnh đáy là 6e+15km. Thì S = 2e-7 x 6e+15 / 2 = 6e+8 = 600.000.000 sqkm. 2 chiều cao kia bằng nhau và < 2x 0,2 mm nên tổng 3 chiều cao nhỏ hơn 1mm",0,0,0
"Ở nam có Sướng, bắc có Phát - toàn đại za xăng dầu. Cuộc đời ngắn ngủi đôi khi Sướng một Phát rồi .... mặc đồ Juventus nhé",-1,1,0
Sau bao năm vất vả thì giờ anh đã có trái ngọt thật phi thường chúc 2 bố con bình an và hạnh phúc,1,0,0
"HL có một giọng hát đẹp, lên cao xuống thấp xử lý rất tinh tế, cách cậu ấy đưa cảm xúc của mình vào bài hát chân thật như chính con người cậu ấy vậy.",1,0,0
"có nhiêu đó ngày nào cũng đá qa đá lại qài ko chán hả tr, ai cũng hay mà?",-1,1,0
"mỹ giàu, mất hàng trăm triệu cũng được, quan trọng hơn là không phi công nào chết",1,0,0
Trông mặt hai đứa này đã thấy bất lương rồi.,-1,1,0
"Thật đáng sợ, em search thử bà bầu ăn củ dền trên Google thì toàn nhắc đây là như là món rau củ giàu dưỡng chất cho mẹ và bé. Thực tế mẹ bầu 4.0 bây giờ ăn gì, uống gì đều dùng Google kiểm tra thông tin, chứ không phải ăn cái gì cũng đòi lên viện hoặc gọi bác sĩ được",-1,0,0
Vẫn ủng hộ Trump!,1,0,0
"Kẻ 2 đường thẳng a // b có khoảng cách h = 1/3 mm. Trên a chọn điểm A bất kỳ, trên b chọn B,C có chiều dài l = vô cùng>> tổng chiều dài các đường cao của tam giác ABC < 3x1/3 mm < 1mmDiện tích tam giác ABC= 1/2*1/3*l = vô cùng",0,0,0
"Thật vĩ đại!, Messi ghi hàng tá bàn thắng vào lưới Real và coi sân Hoàng Gia như sân tập, cay hơn nữa là Messi luôn cho MU ăn hành và cướp đi của họ 2 cái C1, cay hơn hết vẫn là việc Messi đạot 6QBV, 6 giày và lương cao nhất TG, CLB thì giữ lại như báu vật,..., còn idol Múi thì thua kém toàn diện cho dù đã dùng mọi thủ đoạn để bám theo như: ăn vạ hôi pen, tráo băng đội trưởng BĐN để tự bầu QBV cho mình, gập bụng khoe múi,.., nhưng vẫn không theo kịp Messi, vậy fan múi mới ghen tức anti Messi king khủng đến như vậy",1,1,0
Trời ơi khủng khiếp!,-1,0,0
Cần xử lý thật nghiêm tội bạo hành trẻ em để không còn xảy ra tình trạng đau lòng này nữa.,-1,0,0
Cầm thú cũng không ác độc bằng hai chị em mụ này,-1,0,0
"Đúng là gương mặt anh nhìn khủng thật,hi vọng sau những lần mổ anh sẽ sớm trở lại với gương mặt bình thường nhất có thể!",1,0,0
"Mình vẫn là fans của đồ ăn tại gia, tự mang bọc vải đi chợ mua đồ, hạn chế dùng nilon đến mức tối đa. Ngon - Bổ -Rẻ, hạn chế tối đa túi nilon đến môi trường.",1,0,0
"Đã vào đến chung kết thì em nào cũng có cơ hội vô địch, nhưng Vũ Quốc Anh - Đắk Lắk vẫn trội hơn phần còn lại. Sẽ là lần đầu tiên Vòng Nguyệt Quế về với Tây Nguyên!!!",1,0,0
Chuẩn xác,1,0,0
"Rất phức tạp và bất cứ điều gì cũng có thể xảy ra! Nước Mỹ vốn dĩ là như vậy, giống như một bộ phim Holywood",0,0,0
Phải xử phạt thật nặng không thể nhe tay với những cty sản xuất thực phẩm gây ảnh hưởng đến sức khỏe người dân,-1,0,0
Lấy than tre ở đâu không biết nhưng chắc không phải nhật.,-1,0,0
"Tra cứu thông tin trên CIC như nào, ai biết xin hướng dẫn giúp tôi với ạ.Tôi cảm ơn.",0,0,0
"1. Vậy những con đường, công trình khác không có sự giám sát thì sao? Tại sao cứ phải đề cao giải pháp mang tính tình thế như vậy.2. Các bác nên nâng cao chất lượng, tăng tốc độ tối đa lên, 80km/h chưa phải là cao tốc, 5-10 năm nữa, xe hơi điện sẽ phổ biến, không còn nghe tiếng máy nữa, xe đời mới trên cao tốc mà nghe tiếng bánh xe với mặt đường dội lên cà rộp cà rộp chán lắm.",-1,0,0
Nhìn mặt đã thấy GHÊ Rồi,-1,1,0
Bạn còn trẻ bạn nên tham gia bhnt vì.Bạn còn trẻ còn khoẻ. Phí bảo hiểm sẽ thấpNgoài ra bạn tham gia bhnt là cách bạn thể hiện trách nhiệm của mình với Mẹ. ,1,0,0
Kẹt xe nữa rồi,-1,0,0
"A Bo hiền lành, tính tình điềm đạm, nhã nhặn lịch sự, lại rất đẹp trai dễ thương, ai gặp anh ngoài đời sẽ rất quý mến!",1,0,0
"tốt nhất là cấm trong lớp không dùng ĐT di động và nghe nhạcCấp 1 đến cấp 3 nên cấm, để học sinh có tư duy học bài tốt hơn.Theo tôi chỉ ở cấp cao đẳng đại học mới được sử dụng.",0,0,0
""" Những người đàn ông thuộc tầng lớp lao động tay chân như Bickley, Karr, cùng bạn bè trên sà lan của họ, là ""fan cứng"" của Trump. Phần lớn họ là đàn ông da trắng, không có bằng đại học và trên 40 tuổi.""",0,0,0
"cuộc sống mưu sinh khó khăn đầy nơi, người giàu sang tiêu phí cho hàng hiệu cũng đầy rãi. Xã hội muôn màu. Tiếc thay cho những số phận không may mắn. Những ai đang chi tiêu lớn mà những thứ xa xỉ, nên cân nhắc lại.",-1,0,0
"Nâng cao thêm, nâng mạnh lên - Chả có ai mua đâu mà nâng.",-1,0,0
Bác chủ không nêu rõ mục đích. Nếu đi gia đình hoặc ở thành phố nên chọn số tự động bác ơi. Cùng tầm giá thì con Attrage ngon hơn.,1,0,0
Sự kết hợp hoàn hảo. Tiến lên ToT,1,0,0
"Đã xác định có độc, cơ quan chức năng phải cho thu hồi ngay.",-1,0,0
xin chúc mừng em đã đem vinh quang trí tuệ về cho tổ quốc;,1,0,0
Nhớ về Quê Hương nha các em.,1,0,0
Hay lắm! Giọng của NS. Hà Chương cũng rất tình cảm. Khâm phục nghị lực của nhạc sĩ! Tôi là người miền nam nhưng rất thích nghe những ca khúc về xứ Quảng hay Huế.,1,0,0
"Nên thông báo khẩn cấp xuống từng ấp, xã, huyện trên toàn quốc để báo động cho từng hộ dân về sản phẩm này thay vì thông báo trên phương tiện truyền thông. Đâu phải người dân nào cũng theo dõi báo đài",0,0,0
"""7 tỉnh, thành từ Hà Tĩnh đến Quảng Ngãi"" 5 tỉnh còn lại là những tỉnh nào?",0,0,0
"Đài báo, tivi phải đồng lọat đưa tin, chính quyền các địa phuong phải thông trên loa phường mới đến tai người dân được. Thật đáng tiếc",-1,0,0
Cảm ơn tác giả. Những việc tưởng chừng khó xãy ra nhưng khi gặp chuyện sẽ rất hữu ích cho những gia đình có trẻ em. Ngay như người lớn cũng không phải ai cũng biết cách xoay xở.,1,0,0
"Tội nặng nhất là gieo vào đầu đứa bé tính trộm cắp, tuổi thơ trong sáng của bé đã bị bà cô nghiện ngập làm vẫn đục.",-1,0,0
Loại tội phạm này nên cách ly xã hội lâu vào,-1,0,0
Vaccine của nước nào vậy?,0,0,0
"Cái xe máy chạy 20 năm đã nát lắm rồi, vậy mà cái máy bay này 43 năm vẫn còn cho phép sử dụng thì tai nạn chỉ là vấn đề sớm hay muộn mà thôi",-1,0,0
"Tui mua cruze 1.8 AT 2016 33k km giá 370tr, xe hơi hao xăng do xác nặng, đi đầm chắc.Đi xe này chú ý vệ sinh dàn lạnh thường xuyên, hộp phải thay nhớt thường xuyên 5000km là mình thay rồi 4,2 lít.Phụ tùng thì ra gara or vào vinfast mà mua, xe đi ngon hơn vios 100 lần.",1,0,0
"Tuyệt vời messi thần thánh, bàn pen do pa ti.kiếm đc có tính không?? Tính thì si ghi đc 707 bàn. Cố lên messi anh sắp bắt kịp cr7( 743 bàn)",1,0,0
"Ý đồ đánh thuế của Trump là thế mà, ép chuyển sản xuất ra khỏi TQ, đa dạng hóa chuỗi cũng ứng nhưng chuyện này đâu phải làm trong một vài tháng. Lúc đầu vẫn phải nhập khẩu linh kiện TQ dù dời nhà máy sang Ấn Độ hay Đông Nam Á, nhưng 5-10 năm sau các quốc gia này sẽ học hỏi từ các công ty Mỹ, châu Âuvà copy để tự sản xuất linh kiện và xây chuỗi cung ứng như TQ đã làm 30 năm trước.",0,0,0
Chiều về qua không biết chuyện gì kẹt cả 1 đoạn đường giờ mới hay là bắt các con bạc,0,0,0
"Ân Độ lên đưa ra luật nghiêm khắc hơn , nên tử hình nhg kẻ có hành vi cưỡng hiếp phụ nữ có lẽ sẽ giảm bớt đi đc tình trạng này",-1,0,0
Thiếu 1 tình huống đường 2 chiều nhưng vạch vàng liền(coi như con lươn).Nhiều lái xe đè vạch và lấn sang làn đường bên kia nhưng lại bị hù là đi sai làn thay vì lấn vạch.Giá đúng là 300-400 tăng lên 3tr-5tr .,-1,0,0
Đây chính kết quả đến từ sự quyết tâm dập dịch cùng với kinh nghiệm của đợt dịch đầu tiên đã giúp chúng ta chủ động trong chống dịch. Hãy luôn cảnh giác và không được lơ là. Việt Nam muôn năm!,1,0,0
Thà đừng kết hôn thì có lẽ 2 người vẫn bên nhau.kết hôn rồi ly hôn lằng nhằng 3 năm vẫn chưa xong...,-1,0,0
"Em đi thấy bình thường, xe cách âm tốt.Vẫn hài lòng với Kona.Em cũng rất thích form Seltos, nhưng sau khi ngó nghiêng, lái thử thì em chốt Kona . Do em ưu tiên cho vợ nên lựa xe có hàng ghế sau rộng rãi, có điều hoà sau, và nhất là đi Kona không bị ù ạ (em thấy khoản cách âm của Kona làm khá tốt)",1,0,0
"Chúc mừng Bayern có một năm đại thàng công và là nơi nương tựa cho rất nhiều fan du mục từ các CLB chuyển khác vui ké như : fan Rô, fan Juve, fan MU, fan Real.",1,0,0
Nhiều thanh niên lắp trợ sáng đi đường làng cũng bật. Các ông lái oto cũng chẳng kém đi trong phố cũng bật pha rọi vào mắt người đi đường. Sao công an không làm mạnh tay chấn áp các việc như thế này đi.,-1,0,0
"Luật Mỹ nếu nổ súng khi đang ở trên xe là tội nặng hơn nhiều. Tội này càng bị nâng cao nếu xe đang chạy. Lý do chính là khi tay súng ở trên xe đang di chuyển cơ hội rất cao sẽ bị lạc đạn và gây hại oan cho nạn nhân khác không phải nạn nhân như dự định. Trong trường hợp này, chính xác là anh cảnh sát đang ngồi trong nhà với con bị lạc đạn mà chết.",0,0,0
Dạo này hs bị tai bay vạ gió nhiều quá!,-1,0,0
"Cá voi xanh thường bơi từ vùng biển bắc cực đến nam cực và ngược lại. lộ trình của chúng đi qua gần nước Mỹ nên có thể theo dõi được.Cá voi chỉ ăn phiêu sinh vật sinh trưởng vùng nước lạnh (các cực) vào mùa đông. Cho nên khi chuyển sang mùa hạ ở Bắc cực thì cá voi phải di cư đến Nam cực kiếm ăn , vì lúc đó ở Nam cực sẽ là mùa đông. Trong thời gian di chuyển, cá voi nhịn ăn. Thường thì cá voi con được sinh ra trong thời gian di chuyển và nếu có bơi xa mẹ sẽ bị cá mập bắt ăn thịt. Cá mập giết cá voi con, nhưng chỉ ăn cái lưỡi của nó !",0,0,0
"Chúng tôi thuê các cô trông, giữ, dạy trẻ chứ đâu chỉ để gửi con đến trường để chúng chơi? Các cô không nên trông dạy trẻ nếu không kiểm soát và điều khiển dk các thành tố bên trong và bên ngoài",-1,1,0
Thế thì tất cả các lễ lạc từ nay đến cuối năm sẽ bị xếp lại... Một Giáng Sinh buồn trong bệnh tật và chết chóc.?!?!...,-1,0,0
"Bạn Tùng thì quá giỏi nếu tính theo tiêu chuẩn quốc tế IELTS rồi. So sánh với người bản địa là không công bằng, trừ khi lớn lên ở nước ngoài hoặc có bố mẹ người nước ngoài.",1,0,0
Cá sấu há miệng vẫn kiếm được miếng ăn.,0,0,0
Thương con quá,1,0,0
"Toyota Vios,không thân !",0,0,0
Một hướng đi đúng cho Bale. Tot cần bổ sung hàng công khi đang chỉ có Kane và Son.,1,0,0
Chung thân mà mới 10 năm 5 tháng đã ra tù,-1,0,0
"đây là 1 giải pháp rất hữu ích để giảm kẹt xe, cướp giật, phóng xe vượt ẩu... bên cạnh đó, mình thấy tìm giải pháp để điều chỉnh dải phân cách 2 bên đường cho phù hợp với các khung giờ cao điểm cũng là 1 giải pháp hữu ích, hiện nay có nhiều thời điểm 1 bên đường rất đông, trong khi chiều ngược lại thì vắng tanh, nhất là giờ tan sở. Nếu mình có giải pháp điều chỉnh dải phân cách linh động theo khung giờ thì sẽ bớt kẹt xe rất nhiều",1,0,0
"Coclaurin và nornuciferin ( các glyxerit ) có trong hạt na độc với tế bào và làm ngưng tập tiểu cầu , ngoài ra có loại acid cao phân tử có tác dụng với HIV ,may mắn là hạt na có lớp vỏ khá chắc không bị thủy phân trong dạ dày nên lỡ nuốt nguyên hạt cũng không sao ( đừng làm vỡ hạt ) ,trong rễ na cũng độc như hạt, phần ăn được trong quả ngon và dinh dưỡng.",0,0,0
"Bale về Tot thì 99% năm nay Tot sẽ có C1 rồi. Tiếc quá lũ trẻ suốt ngày rêu rao, thần tượng Bale nhưng đâu có dám bỏ tiền ra mua cậu ta về Barca.",-1,1,0
"7 chỗ, giá hợp lý, San đứng đầu phân khúc SUV chứ đâu?",1,0,0
Thực sự hâm mộ ntk Mạnh Cuờng.,1,0,0
"Giải pháp an toàn nhất là mua đất nhỏ quận 1,3,10.... Nói thẳng là không thể lỗ vì đất trung tâm tuy mắc nhưng giá trị tăng theo lạm phát. Mua đất xa TT thì hên xui, có thể lời đậm nhưng cũng có thể lỗ nặng.",0,0,0
Bale đi rồi ai ghi những bàn quyết định ở những trận quyết định cho Real đây?,-1,0,0
barca chỉ thua nhà vô địch.. quá hợp lý !,1,0,0
Em là nhân tài của Quốc gia. Mong em sau này đi du học hãy về phục vụ đất nước. Đây là mong muốn của Anh nhưng quyền quyết định lại là ở em,1,0,0
Hi vọng giảm còn cấp 6 khi đổ bộ vào đất liền.,1,0,0
Hồi mới nổi kiu ông hãy suy xét kỹ mọi điều thì ông cãi lại + ương bướng quyết theo con đường của ông. Giờ thì ông than.. Thật ra ông muốn sao..!?,-1,1,0
làm công ăn lương mà 10 năm dư được 3tỷ. 2 vk chồng tôi làm 10 năm âm nợ gia đình 2 bên 100trịu.hi,0,0,0
"Mua là để đi chứ không phải để cho thuê,bạn ý đã nói rõ cần tư vấn xe sx năm nào,tầm đó mua được xe morning tầm 2015,i10 đời thấp hơn",0,0,0
"Ngày ngày đón tin vui, mong dịch qua sớm",1,0,0
Không còn là một con người nữa thật là thương tâm với cháu bé,-1,0,0
Ký ức tuổi thơ của tôi lại ùa về.,1,0,0
1 đêm thu được 25tr???? tội các chú chó.và gia chủ quá,-1,0,0
Wowy đăng cấp thật sự,1,0,0
Nếu đi cao tốc 1000km chắc hơi tốn nhiều tiền phí.,-1,0,0
"Điểm thi IELTS của bạn cao thật, xin chúc mừng. Nhưng thi đi thi lại tới 20 lần để làm gì vậy?",0,0,0
"Biden chúc Trump và Đệ nhất phu nhân Melania ""nhanh chóng bình phục"" sau khi cả hai dương tính nCoV. Nhưng nếu ngược lại, Biden bị nhiễm và Trump âm tính thì chắc chắn Trump sẽ có một màn chế giễu ra trò!",-1,1,0
"Vui nhất là khi đọc tới đoạn bố mẹ, ông bà nội ngoại tới đón về. Vậy là con ko bị bơ vơ giữa dòng đời này...",1,0,0
Nhìn mấy mẫu đẹp đến kinh dị.,1,0,0
Cậu ấy đá quá hay mà lại bán đi. Ông chủ tịch đúng là chẳng cần biết barca sau này ra sao.,-1,1,0
Chúc mừng em đã trở lại . Bài hát hay quá ! :^*,1,0,0
Một cái chết xứng đáng .,-1,0,0
"Kỳ lạ. Mẹ nuôi 39 tuổi, con nuôi 16 tuổi, dương tính ma túy, chưa có bằng lái, lái xe gây tai nạn đặc biệt nghiêm trọng, 30 tháng tù ?",-1,0,0
"Seltos chỉ dài 4,3 m. Seltos thuộc phân khúc CUV loại B nên hàng ghế phía sau rất chật. Phải thử ngồi vào mới cảm nhận dc. Kona bản 2.0 thấy khá rộng rãi.",0,0,0
"ghê quá , kiếm vài ngàn một tháng đã khó , mấy cô này kiếm toàn là vài trăm ngàn cho đến cả triệu một tháng , sau khi về hưu thì sống thoải mái nhỉ ( nếu biết để dành )",0,0,0
"Nếu ai từng sống trong khu nhà chơi đề sẽ hiểu ít nhiều về bộ phim này.Về cách quay làm mình thấy thực sự lạ, đa số là quay nghiêng.Về âm thanh thì rất tốt.Về nội dung thì tùy cảm nhận mỗi người. Bản thân mình chỉ thấy là, sau khi bước ra khỏi rạp là một cảm giác buồn, và đến ngày hôm sau khi nghĩ về vẫn thấy buồn. Có thể ngoài khi cũng đang có nhiều đứa trẻ phải vật lộn với cuộc sống như Ròm và Phúc. Nhận thấy bản thân mình thật may mắn khi không trải qua những điều đó.Cuối cùng, chúc đoàn làm phim gặt hái được nhiều thành công sắp tới nhé.",1,0,0
Người đẹp Nam Mỹ bao giờ cũng bốc lửa và hấp dẫn.Chúc mừng em.,1,0,0
Chúc hai em và các cháu luôn mạnh khoẻ và hạnh phúc. Hy vọng ngày nào đó em sẽ thấy được mọi người.,1,0,0
"Bức ảnh cuối thấy hạnh phúc làm sao, giờ đất Sài Gòn hiếm có cảnh gđ con cháu quây quầng bên ánh lửa hồng như vậy lắm. Tuy họ nghèo tiền bạc nhưng mình cảm nhận họ rất hạnh phúc, điều mà có khi chúng ta mãi tìm mà chưa chắc đã được. Chúc gđ anh nhiều sức khỏe và ổn định cuộc sống.",1,0,0
